Box,Box Position,Strain,Plasmids,Comments
4,1,HG105 galK<>25O1mut101+11-yfp,,Need to reintegrate
4,2,HG104 galK<>25O1mut101+11-yfp,,Need to reintegrate
4,3,"HG104 galK<>25O1mut101+11-yfp, ybcN<>3*1RBS1147-lacI",,Need to reintegrate
4,4,"HG104 galK<>25O1mut101+11-yfp, ybcN<>3*1RBS446-lacI",,Need to reintegrate
4,5,"HG104 galK<>25O1mut101+11-yfp, ybcN<>3*1RBS1-lacI",,Need to reintegrate
4,6,"HG104 galK<>25O1mut101+11-yfp, ybcN<>3*1-lacI (1L)",,Need to reintegrate
4,7,HG105 galK<>25O1mut102+11-yfp,,
4,8,HG104 galK<>25O1mut102+11-yfp,,
4,9,"HG104 galK<>25O1mut102+11-yfp, ybcN<>3*1RBS1147-lacI",,
4,10,"HG104 galK<>25O1mut102+11-yfp, ybcN<>3*1RBS446-lacI",,
4,11,"HG104 galK<>25O1mut102+11-yfp, ybcN<>3*1RBS1-lacI",,
4,12,"HG104 galK<>25O1mut102+11-yfp, ybcN<>3*1-lacI (1L)",,
4,13,HG105 galK<>25O1mut103+11-yfp,,
4,14,HG104 galK<>25O1mut103+11-yfp,,
4,15,"HG104 galK<>25O1mut103+11-yfp, ybcN<>3*1RBS1147-lacI",,
4,16,"HG104 galK<>25O1mut103+11-yfp, ybcN<>3*1RBS446-lacI",,
4,17,"HG104 galK<>25O1mut103+11-yfp, ybcN<>3*1RBS1-lacI",,
4,18,"HG104 galK<>25O1mut103+11-yfp, ybcN<>3*1-lacI (1L)",,
4,19,HG105 galK<>25O1mut104+11-yfp,,
4,20,HG104 galK<>25O1mut104+11-yfp,,
4,21,"HG104 galK<>25O1mut104+11-yfp, ybcN<>3*1RBS1147-lacI",,
4,22,"HG104 galK<>25O1mut104+11-yfp, ybcN<>3*1RBS446-lacI",,
4,23,"HG104 galK<>25O1mut104+11-yfp, ybcN<>3*1RBS1-lacI",,
4,24,"HG104 galK<>25O1mut104+11-yfp, ybcN<>3*1-lacI (1L)",,
4,25,HG105 galK<>25O1mut105+11-yfp,,
4,26,HG104 galK<>25O1mut105+11-yfp,,
4,27,"HG104 galK<>25O1mut105+11-yfp, ybcN<>3*1RBS1147-lacI",,
4,28,"HG104 galK<>25O1mut105+11-yfp, ybcN<>3*1RBS446-lacI",,
4,29,"HG104 galK<>25O1mut105+11-yfp, ybcN<>3*1RBS1-lacI",,
4,30,"HG104 galK<>25O1mut105+11-yfp, ybcN<>3*1-lacI (1L)",,
4,31,,,
4,32,,,
4,33,,,
4,34,,,
4,35,,,
4,36,,,
4,37,,,
4,38,,,
4,39,,,
4,40,,,
4,41,,,
4,42,,,
4,43,,,
4,44,,,
4,45,,,
4,46,,,
4,47,,,
4,48,,,
4,49,,,
4,50,,,
4,51,,,
4,52,,,
4,53,,,
4,54,,,
4,55,,,
4,56,,,
4,57,,,
4,58,,,
4,59,,,
4,60,,,
4,61,,,
4,62,,,
4,63,,,
4,64,,,
4,65,,,
4,66,,,
4,67,,,
4,68,,,
4,69,,,
4,70,,,
4,71,,,
4,72,,,
4,73,,,
4,74,,,
4,75,,,
4,76,,,
4,77,,,
4,78,,,
4,79,,,
4,80,,,
4,81,,,
